"wy_competition_id","start_wy_season_id","end_wy_season_id","wy_player_id","wy_team_id","src_grouped_position","player_name","birth_date","team_name","competition_name","start_season_name","end_season_name","composite_season_label","matches","matches_in_start","matches_coming_off","minutes_played","num_90s","player_match_possession","goals","shots","shots_on_target","shots_blocked","head_shots","xg_shot","penalties","successful_penalties","direct_free_kicks","direct_free_kicks_on_target","free_kicks","free_kicks_on_target","assists","xg_assist","shot_assists","shot_on_target_assists","second_assists","third_assists","progressive_run","touches_inside_box","offensive_duels","offensive_duels_won","successful_dribbles","linkup_plays","successful_linkup_plays","received_pass","offsides"
"869","189518","189518","404910","7855","#9","Alexandru Irinel Măţan","1999-08-29","Columbus Crew","MLS","2024","2024","2024","1","0","1","16.0","0.17777777777777778","0.6319824753559693","5.625","11.25","5.625","0.0","0.0","1.125","0.0","0.0","0.0","0.0","5.625","5.625","5.625","0.33749999999999997","5.625","0.0","0.0","0.0","5.625","16.875","16.875","11.25","0.0","0.0","0.0","45.0","5.625"
"869","189518","189518","20764","8068","#6/8","Luis Fernando Muriel Fruto","1991-04-16","Orlando City","MLS","2024","2024","2024","1","0","1","40.0","0.4444444444444444","0.3958115183246073","4.5","6.75","4.5","0.0","0.0","1.7775000000000003","2.25","2.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","4.5","15.75","11.25","6.75","0.0","0.0","27.0","0.0"
"869","189518","189518","538019","8061","#6/8","Jack  McGlynn","2003-07-07","Philadelphia Union","MLS","2024","2024","2024","1","0","1","22.0","0.24444444444444444","0.37851929092805003","4.090909090909091","12.272727272727273","8.181818181818182","0.0","0.0","0.7772727272727273","0.0","0.0","4.090909090909091","4.090909090909091","4.090909090909091","4.090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","73.63636363636364","0.0"
"869","189518","189518","70654","7852","#4/5","Pedro Miguel Martins Santos","1988-04-22","DC United","MLS","2024","2024","2024","1","0","1","25.0","0.2777777777777778","0.4230769230769231","3.6","7.2","3.6","0.0","0.0","0.28800000000000003","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.6","3.6","3.6","3.6","0.0","0.0","0.0","25.2","0.0"
"869","189518","189518","7972","66193","#7/11","Luis Alberto Suárez Díaz","1987-01-24","Inter Miami","MLS","2024","2024","2024","2","0","2","62.0","0.6888888888888889","0.5420932234812064","2.903225806451613","2.903225806451613","2.903225806451613","1.4516129032258065","0.0","1.2774193548387098","0.0","0.0","0.0","0.0","0.0","0.0","1.4516129032258065","0.14516129032258066","1.4516129032258065","1.4516129032258065","0.0","1.4516129032258065","0.0","13.064516129032258","10.161290322580646","2.903225806451613","2.903225806451613","4.354838709677419","4.354838709677419","23.225806451612904","0.0"
"869","189518","189518","62106","15015","#9","Stuart Armstrong","1992-03-30","Vancouver Whitecaps","MLS","2024","2024","2024","2","0","2","34.0","0.37777777777777777","0.5559032673782044","2.6470588235294117","2.6470588235294117","2.6470588235294117","0.0","0.0","0.4764705882352941","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.588235294117647","2.6470588235294117","2.6470588235294117","2.6470588235294117","2.6470588235294117","2.6470588235294117","42.35294117647059","0.0"
"869","189518","189518","489381","8142","#7/11","Matías Fernando Cóccaro Ferreira","1997-11-15","CF Montréal","MLS","2024","2024","2024","1","0","1","35.0","0.3888888888888889","0.6385169927909372","2.5714285714285716","5.142857142857143","2.5714285714285716","0.0","5.142857142857143","0.46285714285714286","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","41.142857142857146","10.285714285714286","5.142857142857143","2.5714285714285716","0.0","0.0","20.571428571428573","2.5714285714285716"
"869","189518","189518","655562","67353","#8/10","Ben Bender","2001-03-07","Charlotte FC","MLS","2024","2024","2024","2","0","2","38.0","0.4222222222222222","0.4831741771923637","2.3684210526315788","7.105263157894737","7.105263157894737","0.0","0.0","0.5921052631578947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.3684210526315788","14.210526315789474","7.105263157894737","2.3684210526315788","2.3684210526315788","0.0","0.0","16.57894736842105","0.0"
"869","189518","189518","595058","32556","#8/10","Talles Magno Bacelar Martins","2002-06-26","New York City","MLS","2024","2024","2024","1","0","1","38.0","0.4222222222222222","0.6038647342995169","2.3684210526315788","2.3684210526315788","2.3684210526315788","0.0","0.0","1.8","2.3684210526315788","2.3684210526315788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.57894736842105","7.105263157894737","4.7368421052631575","2.3684210526315788","0.0","0.0","33.1578947368421","0.0"
"869","189518","189518","336262","67353","#7/11","Karol Świderski","1997-01-23","Charlotte FC","MLS","2024","2024","2024","1","0","1","43.0","0.4777777777777778","0.4004711425206125","2.0930232558139537","2.0930232558139537","2.0930232558139537","0.0","0.0","0.2930232558139535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0930232558139537","4.186046511627907","8.372093023255815","2.0930232558139537","0.0","2.0930232558139537","0.0","12.55813953488372","0.0"
"869","189518","189518","819078","37892","#6/8","Gerardo Valenzuela","2004-09-28","Cincinnati","MLS","2024","2024","2024","2","0","2","44.0","0.4888888888888889","0.5687860376435491","2.0454545454545454","2.0454545454545454","2.0454545454545454","0.0","0.0","0.3068181818181818","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0454545454545454","6.136363636363637","6.136363636363637","4.090909090909091","2.0454545454545454","0.0","0.0","40.90909090909091","0.0"
"869","189518","189518","726102","62148","#9","Tomas Ángel Gutiérrez","2003-02-20","Los Angeles FC","MLS","2024","2024","2024","3","0","3","49.0","0.5444444444444444","0.4782455609687043","1.836734693877551","5.510204081632653","1.836734693877551","0.0","0.0","1.9285714285714286","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.836734693877551","0.0","0.0","0.0","1.836734693877551","18.367346938775512","7.346938775510204","5.510204081632653","3.673469387755102","1.836734693877551","0.0","16.53061224489796","0.0"
